favorite_count,number_of(abolish),number_of(action),number_of(affordable),number_of(aging),number_of(agree),number_of(ahead),number_of(already),number_of(amazing),number_of(anyone),number_of(ask),number_of(austerity),number_of(autonomy),number_of(back),number_of(backing),number_of(bad),number_of(bankers),number_of(banks),number_of(battle),number_of(beautiful),number_of(believe),number_of(benefits),number_of(better),number_of(big),number_of(biggest),number_of(billion),number_of(boris),number_of(borrowing),number_of(break),number_of(brilliant),number_of(britain),number_of(british),number_of(budget),number_of(build),number_of(building),number_of(business),number_of(businesses),number_of(cameron),number_of(campaign),number_of(campaigning),number_of(cancer),number_of(candidate),number_of(canvass),number_of(canvassing),number_of(care),number_of(celebrating),number_of(challenge),number_of(chance),number_of(change),number_of(chaos),number_of(child),number_of(childcare),number_of(children),number_of(choice),number_of(church),number_of(claims),number_of(clegg),number_of(club),number_of(coalition),number_of(college),number_of(commitment),number_of(community),number_of(conservative),number_of(constituency),number_of(contracts),number_of(cost),number_of(council),number_of(country),number_of(crime),number_of(crisis),number_of(cuts),number_of(debate),number_of(debt),number_of(defence),number_of(defend),number_of(deficit),number_of(delighted),number_of(deliver),number_of(delivering),number_of(democracy),number_of(democrats),number_of(desperate),number_of(digital),number_of(direction),number_of(disabled),number_of(doing),number_of(door),number_of(doorstep),number_of(east),number_of(economic),number_of(economy),number_of(education),number_of(election),number_of(end),number_of(energy),number_of(english),number_of(enjoyed),number_of(enterprise),number_of(environment),number_of(environmental),number_of(equality),number_of(eu),number_of(europe),number_of(european union),number_of(european),number_of(excellent),number_of(expenses),number_of(extra),number_of(fab),number_of(fair),number_of(fairer),number_of(families),number_of(family),number_of(fantastic),number_of(farage),number_of(feel),number_of(feeling),number_of(fees),number_of(few),number_of(final),number_of(first),number_of(football),number_of(former),number_of(forward),number_of(free),number_of(friend),number_of(friends),number_of(fromt),number_of(fuel),number_of(fund),number_of(funding),number_of(future),number_of(gender),number_of(going),number_of(good),number_of(government),number_of(govt),number_of(great),number_of(greece),number_of(green),number_of(grow),number_of(growing),number_of(growth),number_of(happy),number_of(hardworking),number_of(have),number_of(health),number_of(hear),number_of(heart),number_of(help),number_of(helping),number_of(heritage),number_of(high),number_of(home),number_of(homes),number_of(hope),number_of(house),number_of(housing),number_of(hs2),number_of(i.s.),number_of(i.s.i.s),number_of(immigration),number_of(important),number_of(incentives),number_of(include),number_of(including),number_of(income),number_of(independence),number_of(inequality),number_of(inflation),number_of(interest rates),number_of(interesting),number_of(interview),number_of(investment),number_of(iraq),number_of(isis),number_of(issue),number_of(issues),number_of(job),number_of(jobs),number_of(join),number_of(joined),number_of(joining),number_of(labour),number_of(launch),number_of(lead),number_of(leader),number_of(leaders),number_of(left),number_of(libya),number_of(living),number_of(london),number_of(looking),number_of(lots),number_of(love),number_of(luck),number_of(making),number_of(man),number_of(manifesto),number_of(market),number_of(means),number_of(meeting),number_of(men),number_of(middle east),number_of(miliband),number_of(minimum),number_of(minister),number_of(moment),number_of(money),number_of(more),number_of(morning),number_of(much),number_of(must),number_of(national),number_of(needs),number_of(negative),number_of(nhs),number_of(nice),number_of(nuclear),number_of(nurses),number_of(office),number_of(old),number_of(online),number_of(open),number_of(opening),number_of(opportunity),number_of(osborne),number_of(other),number_of(paid),number_of(parents),number_of(park),number_of(parliament),number_of(parliamentary),number_of(parties),number_of(party),number_of(past),number_of(pay),number_of(pension),number_of(pensioners),number_of(people),number_of(performance),number_of(petrol),number_of(place),number_of(plans),number_of(play),number_of(please),number_of(pleased),number_of(pledge),number_of(pledges),number_of(point),number_of(police),number_of(policies),number_of(policy),number_of(politics),number_of(poll),number_of(polls),number_of(positive),number_of(posters),number_of(power),number_of(predict),number_of(prices),number_of(primary),number_of(private),number_of(problem),number_of(promises),number_of(property),number_of(protect),number_of(public),number_of(questions),number_of(race),number_of(raise),number_of(ready),number_of(real),number_of(reception),number_of(recovery),number_of(referendum),number_of(register),number_of(registered),number_of(relevant),number_of(remember),number_of(rent),number_of(right),number_of(rise),number_of(risk),number_of(risking),number_of(risks),number_of(road),number_of(rule),number_of(russia),number_of(save),number_of(school),number_of(scotland),number_of(scottish),number_of(scrap),number_of(seats),number_of(secure),number_of(security),number_of(service),number_of(services),number_of(set),number_of(shadow),number_of(sign),number_of(snp),number_of(social),number_of(sorry),number_of(special),number_of(speech),number_of(spend),number_of(spending),number_of(sport),number_of(stand),number_of(start),number_of(strategy),number_of(strong),number_of(students),number_of(sturgeon),number_of(support),number_of(supporting),number_of(surge),number_of(tactical),number_of(take),number_of(talking),number_of(tax),number_of(taxes),number_of(team),number_of(teams),number_of(tell),number_of(term),number_of(terrorism),number_of(thank),number_of(them),number_of(think),number_of(thinking),number_of(thought),number_of(time),number_of(today),number_of(together),number_of(tomorrow),number_of(top),number_of(tories),number_of(town),number_of(trade),number_of(trail),number_of(transport),number_of(travel),number_of(trident),number_of(true),number_of(trust),number_of(truth),number_of(trying),number_of(turn),number_of(tv),number_of(uk),number_of(ukip),number_of(ukraine),number_of(unemployment),number_of(unfunded),number_of(us),number_of(victory),number_of(volunteers),number_of(vote),number_of(voters),number_of(votes),number_of(voting),number_of(wage),number_of(wages),number_of(wants),number_of(war),number_of(warm),number_of(we),number_of(welfare),number_of(well),number_of(west),number_of(westminster),number_of(when),number_of(win),number_of(winning),number_of(woman),number_of(women),number_of(wonderful),number_of(work),number_of(working),number_of(world),number_of(wrong),number_of(you),number_of(your),number_of(youth),number_of(zero hours),number_of(zero),number_of(zero-hours)
0.0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,2,1,0,2,0,0,1,0,2,26,5,2,1,6,7,2,0,0,0,0,0,0,1,4,1,0,0,0,0,0,0,0,2,0,0,1,0,0,1,3,0,2,7,0,0,0,0,1,0,0,0,0,0,0,0,0,3,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,3,2,1,2,1,7,1,0,0,0,0,0,2,0,0,4,0,0,0,0,0,0,1,0,0,1,6,2,0,31,0,0,1,0,0,0,0,9,3,1,0,38,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,1,12,2,0,0,1,1,0,0,0,4,0,0,3,0,1,1,0,0,3,0,0,7,0,4,0,0,5,1,3,0,0,1,0,5,4,0,1,0,0,0,1,0,0,0,1,0,0,0,2,1,0,1,0,1,0,0,8,3,0,0,0,2,1,1,0,0,0,0,0,1,0,1,2,1,2,0,0,0,2,1,0,0,0,0,0,1,0,0,0,1,1,1,0,1,2,0,0,0,2,3,0,0,0,1,0,0,1,2,0,1,1,0,1,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,3,0,0,1,1,5,4,0,0,0,0,0,0,3,0,0,0,0,9,3,0,1,2,2,11,3,1,2,2,0,0,10,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,1,0,5,0,0,1,0,1,0,0,1,7,1,9,12,0,4,0,0,1,1,1,7,2,0,0,54,4,3,0,1,0
6.0,0,0,0,0,1,0,1,0,1,1,0,0,6,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,3,0,1,0,3,0,2,0,0,1,1,3,0,0,0,0,1,0,0,1,2,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,3,5,0,0,1,5,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,2,0,0,1,0,2,2,1,1,1,0,5,0,0,0,0,1,0,2,6,2,0,10,0,0,1,0,0,2,0,9,1,0,1,4,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,2,0,0,6,1,0,0,0,0,0,0,0,3,1,1,1,1,2,1,0,1,1,1,0,3,0,0,0,0,6,5,1,0,1,2,0,2,2,0,0,0,3,0,1,2,0,0,3,0,0,3,2,0,1,3,0,0,0,1,6,0,0,1,1,1,1,2,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,1,1,0,1,0,1,0,0,1,2,2,1,0,0,0,0,0,1,0,0,2,0,0,0,1,1,1,0,0,0,1,2,0,4,1,6,1,0,6,10,1,3,2,3,3,0,0,0,0,0,1,0,0,0,0,0,1,2,0,0,0,5,0,1,4,2,0,1,0,0,0,0,1,19,0,3,3,0,2,0,0,0,0,0,0,0,0,3,22,11,0,0,1,0
0.0,0,0,0,0,2,0,2,2,0,0,0,0,5,5,0,0,0,0,2,1,0,5,2,1,2,2,2,1,0,0,0,1,3,1,2,4,2,13,10,1,2,1,5,3,0,0,2,1,0,0,1,1,1,0,2,0,1,0,0,0,3,6,3,0,0,1,1,0,0,0,2,0,0,0,3,1,3,7,0,0,2,0,0,0,0,1,2,2,0,0,1,5,0,0,0,7,0,0,0,1,1,1,0,0,1,0,1,0,0,0,0,1,3,0,0,1,0,1,0,1,0,1,3,2,1,1,0,0,0,6,1,0,4,15,6,0,28,0,1,0,0,0,2,2,17,1,2,0,2,2,0,0,1,4,0,0,6,0,0,0,0,1,0,0,2,0,0,0,0,0,1,1,0,0,0,3,1,0,2,0,0,0,11,0,1,0,0,2,0,1,2,3,9,0,1,2,2,0,0,0,2,0,0,0,1,4,0,0,10,8,4,1,1,1,0,9,0,0,0,1,0,0,1,0,0,0,0,2,1,0,2,0,0,1,2,1,0,0,15,0,0,1,2,0,0,0,0,1,1,0,2,2,1,0,0,1,4,0,0,0,0,1,0,1,0,1,2,2,0,0,0,0,3,0,0,1,0,0,0,3,4,0,1,0,0,3,0,0,0,1,0,0,0,0,0,0,2,1,3,0,0,3,3,0,0,0,0,0,0,2,1,0,1,0,0,8,5,0,0,2,2,1,0,4,2,0,0,0,4,5,5,0,0,8,4,0,0,2,1,2,0,2,1,0,0,0,0,1,0,1,0,1,0,0,3,0,5,0,0,6,4,0,1,0,0,3,0,1,9,0,3,0,0,4,1,1,0,0,1,9,4,0,3,16,7,0,0,0,0
1.0,1,0,0,0,0,0,2,1,1,0,0,0,5,3,2,0,0,0,0,1,0,0,3,0,0,1,1,0,1,1,0,0,0,3,3,6,3,0,0,0,0,0,0,0,0,1,1,0,1,0,4,2,1,0,0,0,2,0,0,0,3,3,0,0,1,3,2,3,0,1,2,3,0,0,3,0,3,0,0,0,1,0,0,0,2,0,0,2,2,3,0,2,1,0,3,7,0,0,0,0,0,0,0,0,4,1,1,0,2,0,0,3,0,0,1,0,0,1,0,4,1,1,0,7,0,1,0,0,2,1,4,0,4,13,3,4,23,0,0,0,1,0,0,1,17,0,3,0,7,2,0,1,8,3,1,4,8,0,0,0,0,2,0,0,1,0,1,0,0,0,0,0,2,0,0,0,0,1,6,1,0,1,23,1,3,0,0,3,0,1,2,2,0,0,4,3,0,2,1,0,1,0,0,11,0,2,0,1,18,0,0,2,1,0,0,0,0,0,0,0,0,0,4,0,0,1,1,0,3,0,0,0,0,5,0,2,0,0,6,0,0,1,5,0,0,2,1,0,1,1,1,2,0,1,0,3,0,0,0,0,0,1,1,0,0,0,2,0,0,1,0,0,0,1,0,0,0,0,0,12,0,0,1,0,0,1,1,0,0,1,0,0,0,1,2,3,0,0,0,4,0,6,0,0,0,0,1,1,0,0,0,0,0,0,0,5,0,0,0,0,2,5,1,2,0,1,0,0,2,4,1,0,1,6,5,1,0,1,3,2,0,0,0,1,0,0,0,0,1,0,0,1,0,0,2,1,3,0,0,10,1,6,0,0,0,0,0,0,6,0,4,0,0,2,4,0,1,0,0,11,5,0,0,11,12,0,0,1,0
0.0,0,0,0,0,0,2,0,2,1,2,0,0,1,0,0,0,0,0,2,1,0,2,1,2,0,1,0,1,0,1,1,1,0,0,6,0,15,7,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,1,2,0,0,0,5,0,0,0,1,1,0,0,1,5,0,0,0,5,1,0,0,1,0,0,0,0,0,3,1,0,0,4,0,0,10,1,0,4,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,2,2,0,0,0,0,2,2,0,0,1,0,0,0,0,0,0,1,0,3,5,4,3,10,0,0,0,0,0,1,0,13,2,0,0,1,0,0,0,3,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,2,1,0,0,0,2,22,1,0,2,0,1,1,0,0,1,1,1,1,1,1,3,0,0,0,0,0,9,1,0,0,2,4,2,2,1,1,1,0,2,1,1,0,1,1,0,0,0,2,1,1,1,0,0,1,0,0,10,0,0,0,0,6,0,0,1,1,1,3,0,0,0,2,0,0,3,0,3,0,0,1,1,0,0,0,0,0,0,0,0,3,0,0,2,0,1,0,0,0,3,0,0,1,0,0,0,1,0,0,2,0,0,0,0,3,1,0,0,1,0,1,1,0,0,2,4,1,0,0,1,0,1,0,0,1,0,1,1,3,14,1,0,0,2,4,0,0,6,0,0,1,0,0,3,2,0,1,4,5,0,0,0,12,7,0,2,0,0,1,0,1,1,1,3,0,6,1,0,0,0,3,1,1,5,3,0,1,3,1,3,3,0,7,3,5,2,0,0,3,1,0,0,0,1,2,1,0,8,2,0,0,1,0
3.0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,6,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,7,1,0,1,0,0,0,0,0,0,0,2,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,2,0,1,0,0,0,0,0,0,1,1,1,1,0,0,5,0,0,0,0,0,0,0,3,1,0,1,1,0,2,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,3,1,0,1,0,0,0,0,0,1,0,0,0,1,0,1,6,0,1,2,0,0,0,1,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,2,0,1,0,1,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2,2,0,0,3,1,1,0,1,0,0,0,0,1,3,1,0,0,1,3,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,1,0,4,0,0,0,0,0,0,0,0,1,0,0,4,0,1,0,0,1,0,0,0,1,0,4,0,0,1,3,2,0,0,0,0
1.0,0,0,0,0,0,0,1,1,0,1,0,0,4,0,0,0,0,0,0,2,0,2,1,1,1,0,1,0,2,0,1,3,0,0,1,2,3,3,3,0,2,5,12,0,0,0,3,0,1,0,1,0,3,1,1,0,0,0,0,5,2,1,0,0,0,2,1,0,1,0,1,1,7,0,1,0,3,2,1,0,0,0,0,0,0,1,4,0,3,3,0,1,0,0,0,1,1,2,0,0,0,0,0,0,5,0,0,0,0,0,2,4,2,0,0,0,0,1,0,1,0,0,1,2,1,0,0,0,2,1,3,0,0,17,3,0,21,0,0,1,1,0,1,2,8,1,1,1,5,0,0,0,8,2,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,2,0,0,0,1,2,7,1,1,1,15,2,0,1,0,1,0,0,0,2,0,0,2,3,1,6,0,2,1,0,0,5,0,0,0,0,12,9,0,0,1,1,0,2,1,0,0,0,0,0,1,0,1,0,2,4,0,0,1,0,0,2,0,2,0,0,6,1,0,1,2,0,2,2,0,0,1,0,0,3,1,0,0,2,0,0,0,0,0,1,0,0,0,0,2,1,0,0,3,1,1,0,0,0,0,0,0,0,2,0,2,0,0,1,2,1,0,1,1,0,1,0,1,5,0,1,1,2,0,9,0,3,0,2,1,1,0,0,1,0,8,1,3,6,4,0,0,4,8,6,2,3,1,0,0,0,4,4,1,0,1,3,8,1,0,1,1,0,0,1,6,0,4,0,0,0,0,0,0,4,0,0,1,0,0,0,3,2,1,0,1,1,0,1,0,0,15,1,1,11,0,2,0,1,0,0,1,6,5,0,0,12,3,0,0,0,0
0.0,1,1,0,0,0,1,0,0,2,2,0,0,3,1,0,0,0,1,0,4,0,0,4,1,0,0,1,0,1,3,1,0,0,0,3,0,5,8,2,0,2,0,0,1,0,0,0,3,0,0,0,2,3,0,0,0,4,2,0,1,0,4,0,0,1,0,0,2,0,2,3,0,0,0,1,1,0,0,0,0,1,0,0,0,1,1,0,0,1,2,1,7,5,0,0,1,0,0,0,0,5,0,0,0,0,0,2,0,0,0,0,4,1,6,1,0,0,1,1,6,1,0,0,2,0,0,0,1,1,1,3,0,6,11,3,4,8,0,1,0,0,0,0,0,13,5,1,1,3,0,0,0,4,0,1,1,4,0,0,0,1,1,0,0,0,3,1,0,2,0,1,2,0,0,0,1,1,4,7,2,0,0,6,1,1,1,4,1,0,1,0,2,0,3,0,0,1,1,0,0,7,0,0,5,2,2,0,2,10,1,2,0,0,2,0,4,2,1,0,2,0,0,0,0,1,2,2,1,1,0,1,0,0,5,0,4,0,0,2,1,0,1,0,0,0,3,2,0,0,1,0,4,0,3,1,1,1,0,0,2,0,0,0,0,1,2,3,0,0,0,0,2,0,0,0,0,0,0,1,0,9,0,0,0,0,0,0,0,1,0,2,2,0,3,0,0,2,3,1,0,2,2,1,4,0,0,0,1,0,1,0,0,0,0,0,2,2,0,0,1,0,2,3,3,0,0,1,0,0,6,3,1,3,3,5,0,1,2,3,1,0,0,0,0,0,4,0,1,2,0,6,6,10,0,1,0,5,0,1,6,3,0,1,2,0,4,0,0,9,1,4,0,0,4,2,0,0,0,2,0,3,1,2,19,6,0,0,1,0
0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,4,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,4,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0.0,0,0,0,0,0,1,1,1,1,2,0,0,1,0,2,0,0,0,0,1,0,4,0,1,0,0,0,0,0,0,3,2,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,1,1,8,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,3,0,0,0,1,1,1,0,0,0,0,4,0,0,0,1,0,0,0,0,0,1,1,1,1,5,1,2,3,0,0,0,0,0,1,0,8,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,1,0,0,2,0,0,0,0,2,0,0,0,1,2,1,0,0,2,0,0,0,0,0,0,1,0,1,0,1,4,1,0,0,0,0,0,2,3,0,0,5,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,2,0,0,0,0,0,0,1,0,0,1,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,6,2,0,0,0,2,0,0,0,0,1,6,1,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,1,2,4,1,0,5,1,0,0,0,2,0,0,0,0,1,0,1,1,1,2,1,0,8,2,0,0,0,0,1,0,3,1,1,0,0,0,1,0,1,4,0,1,0,1,3,1,0,0,0,0,2,0,0,1,19,11,1,0,0,0
0.0,0,0,0,0,1,1,3,0,0,0,0,0,3,0,0,0,0,0,1,2,0,1,1,1,0,0,0,1,3,1,2,0,1,0,3,4,5,8,2,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,1,3,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,1,1,1,0,7,0,0,20,1,0,0,0,0,0,1,0,0,3,0,1,0,5,1,1,1,1,0,0,0,0,1,0,2,0,1,1,0,0,0,0,0,0,1,1,0,1,5,0,0,8,0,1,0,0,0,3,0,21,1,0,0,2,1,0,0,1,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,2,3,2,3,2,1,1,10,6,0,0,0,1,2,0,0,0,1,0,3,2,0,10,0,0,2,0,0,4,0,8,1,1,5,5,2,1,5,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,3,0,0,0,1,0,1,0,0,2,0,0,1,1,0,2,0,1,0,0,0,0,3,2,0,0,0,3,1,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,2,0,2,0,3,0,0,0,1,1,0,1,1,1,0,0,1,0,1,0,0,7,1,0,0,3,1,1,2,2,0,1,0,0,2,2,3,0,1,4,5,0,2,0,1,1,0,0,0,0,0,0,0,0,0,1,0,3,2,0,1,0,1,0,0,6,2,11,1,0,0,1,2,0,10,0,4,0,0,4,0,1,0,0,0,1,2,2,0,19,7,1,0,0,0
125.0,0,0,0,0,1,1,1,1,0,0,0,0,11,1,0,0,1,2,0,2,0,9,0,0,0,1,2,2,0,12,4,1,4,2,2,5,0,6,3,0,2,0,1,0,2,0,1,0,2,1,4,6,4,0,0,0,0,1,0,1,0,8,2,0,2,1,4,0,0,0,0,2,0,0,0,3,2,1,1,0,0,0,0,0,1,0,0,0,3,10,1,4,0,0,1,0,0,0,0,0,2,0,0,1,0,0,1,0,0,1,9,7,3,1,0,0,1,3,0,7,0,0,1,3,0,1,0,0,2,2,14,0,1,10,4,0,13,0,0,2,0,2,5,4,20,0,4,2,9,6,0,0,7,2,0,0,1,0,0,0,0,4,0,0,1,2,0,0,1,0,0,3,0,0,0,0,1,3,12,3,2,0,9,1,0,0,1,2,0,0,1,0,0,0,0,2,1,2,0,3,1,1,0,17,3,3,0,2,30,1,2,3,6,1,0,2,0,0,0,0,0,0,0,0,2,0,0,2,2,0,1,0,0,2,1,4,0,0,17,0,0,1,6,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,1,1,3,2,0,0,0,1,0,2,0,2,0,0,1,4,0,3,2,0,2,0,4,8,7,0,0,2,0,2,6,0,1,0,1,1,0,0,0,2,0,4,0,2,7,0,0,0,3,3,6,6,6,0,0,3,0,2,2,1,0,1,1,8,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,8,0,0,3,0,5,0,1,8,0,2,3,1,0,2,0,1,34,0,1,1,0,3,4,0,1,1,1,4,9,2,1,19,13,0,0,0,0
0.0,0,0,0,0,1,0,1,2,0,1,0,0,0,0,0,0,0,0,1,0,0,1,2,0,0,0,0,0,5,0,1,0,0,0,0,0,1,3,1,0,3,0,2,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,2,1,1,1,0,0,0,0,2,0,0,9,1,1,10,0,1,0,0,0,1,0,12,3,0,0,1,0,0,2,4,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,2,15,1,0,0,0,0,0,0,1,6,0,1,0,1,0,1,0,1,5,0,0,0,0,0,0,1,4,1,1,1,2,1,0,1,0,0,0,2,0,0,0,7,0,0,0,0,0,0,2,1,0,3,0,0,0,0,3,1,0,1,0,0,5,1,3,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,2,0,0,1,3,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,1,0,4,0,0,0,0,2,2,0,1,0,0,1,0,7,0,1,1,0,3,7,0,3,0,2,0,0,0,0,0,6,0,0,0,0,1,0,2,2,0,0,0,4,0,0,9,0,0,2,0,0,0,0,0,5,0,5,1,0,2,0,0,0,0,0,1,0,2,0,24,10,0,0,1,0
